name,player_id,affiliate,level,pos,inningsPitched,strikeOuts,baseOnBalls,homeRuns
Paul Sewald,623149,Montgomery Biscuits,AA,P,19.6,20.0,2.0,5.0
Devin Smeltzer,656970,Montgomery Biscuits,AA,P,10.2,7.0,5.0,0.0
Dylan Smith,681916,Montgomery Biscuits,AA,P,78.4,114.0,34.0,2.0
Drew Sommers,805427,Montgomery Biscuits,AA,P,126.2,140.0,42.0,4.0
Thomas Szapucki,663378,Montgomery Biscuits,AA,P,26.2,34.0,6.0,0.0
Riley Unroe,624523,Montgomery Biscuits,AA,2B,10.2,0.0,2.0,1.0
José Urquidy,664353,Montgomery Biscuits,AA,P,42.4,36.0,10.0,4.0
Ricky Vanasco,676568,Montgomery Biscuits,AA,P,56.2,76.0,40.0,6.0
Troy Watson,681890,Montgomery Biscuits,AA,P,208.4,194.0,74.0,20.0
Brendan White,686839,Montgomery Biscuits,AA,P,32.1,27.0,17.0,3.0
Joe Adametz,701564,Bowling Green Hot Rods,A+,P,120.2,96.0,46.0,14.0
Jordan Balazovic,666364,Bowling Green Hot Rods,A+,P,114.4,106.0,46.0,16.0
Austin Bergner,666123,Bowling Green Hot Rods,A+,P,194.0,190.0,86.0,22.0
Ryan Boyer,801682,Bowling Green Hot Rods,A+,P,176.60000000000002,192.0,54.0,36.0
John Brebbia,605154,Bowling Green Hot Rods,A+,P,60.60000000000001,66.0,12.0,3.0
Beau Brieske,689225,Bowling Green Hot Rods,A+,P,22.0,20.0,18.0,8.0
Blair Calvo,663971,Bowling Green Hot Rods,A+,P,78.6,96.0,36.0,12.0
Andrew Chafin,605177,Bowling Green Hot Rods,A+,P,12.2,17.0,4.0,0.0
Alex Cobb,502171,Bowling Green Hot Rods,A+,P,40.4,48.0,30.0,2.0
Ryan Cusick,680743,Bowling Green Hot Rods,A+,P,130.3,140.0,83.0,30.0
Randy Dobnak,677976,Bowling Green Hot Rods,A+,P,294.59999999999997,231.0,153.0,39.0
Dietrich Enns,608650,Bowling Green Hot Rods,A+,P,62.1,71.0,15.0,4.0
Colin Fields,802953,Bowling Green Hot Rods,A+,P,140.4,172.0,38.0,6.0
Kyle Finnegan,640448,Bowling Green Hot Rods,A+,P,0.2,1.0,1.0,0.0
Jason Foley,671345,Bowling Green Hot Rods,A+,P,6.2,9.0,0.0,0.0
Matt Gage,657424,Bowling Green Hot Rods,A+,P,111.60000000000001,96.0,18.0,6.0
Sawyer Gipson-Long,687830,Bowling Green Hot Rods,A+,P,77.70000000000002,84.0,18.0,2.0
Woo-Suk Go,808970,Bowling Green Hot Rods,A+,P,117.9,104.0,69.0,15.0
Sean Guenther,674944,Bowling Green Hot Rods,A+,P,16.0,14.0,4.0,2.0
Brenan Hanifee,669724,Bowling Green Hot Rods,A+,P,6.0,7.0,1.0,0.0
Geoff Hartlieb,664129,Bowling Green Hot Rods,A+,P,159.3,186.0,51.0,12.0
Wilkel Hernandez,665859,Bowling Green Hot Rods,A+,P,114.1,96.0,44.0,14.0
Codi Heuer,676051,Bowling Green Hot Rods,A+,P,144.60000000000002,186.0,51.0,12.0
Bailey Horn,690544,Bowling Green Hot Rods,A+,P,84.4,106.0,40.0,8.0
Brant Hurter,676428,Bowling Green Hot Rods,A+,P,3.2,2.0,0.0,0.0
Andrew Jenkins,687543,Bowling Green Hot Rods,A+,1B,0.1,0.0,0.0,0.0
Alex Lange,656638,Bowling Green Hot Rods,A+,P,50.2,64.0,28.0,4.0
Chase Lee,695445,Bowling Green Hot Rods,A+,P,32.0,38.0,10.0,4.0
Lael Lockhart,679712,Bowling Green Hot Rods,A+,P,207.3,208.0,110.0,20.0
Matt Manning,666159,Bowling Green Hot Rods,A+,P,110.4,120.0,88.0,14.0
Nick Margevicius,676606,Bowling Green Hot Rods,A+,P,74.0,70.0,18.0,7.0
Tyler Mattison,694331,Bowling Green Hot Rods,A+,P,77.3,88.0,60.0,8.0
Troy Melton,675512,Bowling Green Hot Rods,A+,P,150.2,202.0,40.0,12.0
Trevin Michael,800723,Bowling Green Hot Rods,A+,P,131.3,158.0,48.0,8.0
Joe Miller,701464,Bowling Green Hot Rods,A+,P,232.0,202.0,70.0,20.0
Ryan Miller,668943,Bowling Green Hot Rods,A+,P,50.0,44.0,16.0,8.0
Keider Montero,672456,Bowling Green Hot Rods,A+,P,42.2,43.0,15.0,5.0
Austin Murr,689456,Bowling Green Hot Rods,A+,LF,1.2,0.0,0.0,0.0
Tim Naughton,676987,Bowling Green Hot Rods,A+,P,70.0,86.0,26.0,4.0
Reese Olson,681857,Bowling Green Hot Rods,A+,P,10.1,14.0,2.0,2.0
Tyler Owens,687074,Bowling Green Hot Rods,A+,P,60.2,56.0,46.0,10.0
Carlos Peña,685329,Bowling Green Hot Rods,A+,P,222.0,192.0,52.0,20.0
RJ Petit,696275,Bowling Green Hot Rods,A+,P,132.2,158.0,44.0,8.0
PJ Poulin,676571,Bowling Green Hot Rods,A+,P,42.2,62.0,17.0,4.0
Tanner Rainey,663432,Bowling Green Hot Rods,A+,P,120.60000000000001,162.0,69.0,3.0
Matt Seelinger,676910,Bowling Green Hot Rods,A+,P,130.4,150.0,50.0,12.0
Paul Sewald,623149,Bowling Green Hot Rods,A+,P,19.6,20.0,2.0,5.0
Devin Smeltzer,656970,Bowling Green Hot Rods,A+,P,10.2,7.0,5.0,0.0
Dylan Smith,681916,Bowling Green Hot Rods,A+,P,78.4,114.0,34.0,2.0
Drew Sommers,805427,Bowling Green Hot Rods,A+,P,126.2,140.0,42.0,4.0
Thomas Szapucki,663378,Bowling Green Hot Rods,A+,P,26.2,34.0,6.0,0.0
Riley Unroe,624523,Bowling Green Hot Rods,A+,2B,10.2,0.0,2.0,1.0
José Urquidy,664353,Bowling Green Hot Rods,A+,P,42.4,36.0,10.0,4.0
Ricky Vanasco,676568,Bowling Green Hot Rods,A+,P,56.2,76.0,40.0,6.0
Troy Watson,681890,Bowling Green Hot Rods,A+,P,208.4,194.0,74.0,20.0
Brendan White,686839,Bowling Green Hot Rods,A+,P,32.1,27.0,17.0,3.0
Joe Adametz,701564,Charleston RiverDogs,A,P,120.2,96.0,46.0,14.0
Jordan Balazovic,666364,Charleston RiverDogs,A,P,114.4,106.0,46.0,16.0
Austin Bergner,666123,Charleston RiverDogs,A,P,194.0,190.0,86.0,22.0
Ryan Boyer,801682,Charleston RiverDogs,A,P,176.60000000000002,192.0,54.0,36.0
John Brebbia,605154,Charleston RiverDogs,A,P,60.60000000000001,66.0,12.0,3.0
Beau Brieske,689225,Charleston RiverDogs,A,P,22.0,20.0,18.0,8.0
Blair Calvo,663971,Charleston RiverDogs,A,P,78.6,96.0,36.0,12.0
Andrew Chafin,605177,Charleston RiverDogs,A,P,12.2,17.0,4.0,0.0
Alex Cobb,502171,Charleston RiverDogs,A,P,40.4,48.0,30.0,2.0
Ryan Cusick,680743,Charleston RiverDogs,A,P,130.3,140.0,83.0,30.0
Randy Dobnak,677976,Charleston RiverDogs,A,P,294.59999999999997,231.0,153.0,39.0
Dietrich Enns,608650,Charleston RiverDogs,A,P,62.1,71.0,15.0,4.0
Colin Fields,802953,Charleston RiverDogs,A,P,140.4,172.0,38.0,6.0
Kyle Finnegan,640448,Charleston RiverDogs,A,P,0.2,1.0,1.0,0.0
Jason Foley,671345,Charleston RiverDogs,A,P,6.2,9.0,0.0,0.0
Matt Gage,657424,Charleston RiverDogs,A,P,111.60000000000001,96.0,18.0,6.0
Sawyer Gipson-Long,687830,Charleston RiverDogs,A,P,77.70000000000002,84.0,18.0,2.0
Woo-Suk Go,808970,Charleston RiverDogs,A,P,117.9,104.0,69.0,15.0
Sean Guenther,674944,Charleston RiverDogs,A,P,16.0,14.0,4.0,2.0
Brenan Hanifee,669724,Charleston RiverDogs,A,P,6.0,7.0,1.0,0.0
Geoff Hartlieb,664129,Charleston RiverDogs,A,P,159.3,186.0,51.0,12.0
Wilkel Hernandez,665859,Charleston RiverDogs,A,P,114.1,96.0,44.0,14.0
Codi Heuer,676051,Charleston RiverDogs,A,P,144.60000000000002,186.0,51.0,12.0
Bailey Horn,690544,Charleston RiverDogs,A,P,84.4,106.0,40.0,8.0
Brant Hurter,676428,Charleston RiverDogs,A,P,3.2,2.0,0.0,0.0
Andrew Jenkins,687543,Charleston RiverDogs,A,1B,0.1,0.0,0.0,0.0
Alex Lange,656638,Charleston RiverDogs,A,P,50.2,64.0,28.0,4.0
Chase Lee,695445,Charleston RiverDogs,A,P,32.0,38.0,10.0,4.0
Lael Lockhart,679712,Charleston RiverDogs,A,P,207.3,208.0,110.0,20.0
Matt Manning,666159,Charleston RiverDogs,A,P,110.4,120.0,88.0,14.0
Nick Margevicius,676606,Charleston RiverDogs,A,P,74.0,70.0,18.0,7.0
Tyler Mattison,694331,Charleston RiverDogs,A,P,77.3,88.0,60.0,8.0
Troy Melton,675512,Charleston RiverDogs,A,P,150.2,202.0,40.0,12.0
Trevin Michael,800723,Charleston RiverDogs,A,P,131.3,158.0,48.0,8.0
Joe Miller,701464,Charleston RiverDogs,A,P,232.0,202.0,70.0,20.0
Ryan Miller,668943,Charleston RiverDogs,A,P,50.0,44.0,16.0,8.0
Keider Montero,672456,Charleston RiverDogs,A,P,42.2,43.0,15.0,5.0
Austin Murr,689456,Charleston RiverDogs,A,LF,1.2,0.0,0.0,0.0
Tim Naughton,676987,Charleston RiverDogs,A,P,70.0,86.0,26.0,4.0
Reese Olson,681857,Charleston RiverDogs,A,P,10.1,14.0,2.0,2.0
Tyler Owens,687074,Charleston RiverDogs,A,P,60.2,56.0,46.0,10.0
Carlos Peña,685329,Charleston RiverDogs,A,P,222.0,192.0,52.0,20.0
RJ Petit,696275,Charleston RiverDogs,A,P,132.2,158.0,44.0,8.0
PJ Poulin,676571,Charleston RiverDogs,A,P,42.2,62.0,17.0,4.0
Tanner Rainey,663432,Charleston RiverDogs,A,P,120.60000000000001,162.0,69.0,3.0
Matt Seelinger,676910,Charleston RiverDogs,A,P,130.4,150.0,50.0,12.0
Paul Sewald,623149,Charleston RiverDogs,A,P,19.6,20.0,2.0,5.0
Devin Smeltzer,656970,Charleston RiverDogs,A,P,10.2,7.0,5.0,0.0
Dylan Smith,681916,Charleston RiverDogs,A,P,78.4,114.0,34.0,2.0
Drew Sommers,805427,Charleston RiverDogs,A,P,126.2,140.0,42.0,4.0
Thomas Szapucki,663378,Charleston RiverDogs,A,P,26.2,34.0,6.0,0.0
Riley Unroe,624523,Charleston RiverDogs,A,2B,10.2,0.0,2.0,1.0
José Urquidy,664353,Charleston RiverDogs,A,P,42.4,36.0,10.0,4.0
Ricky Vanasco,676568,Charleston RiverDogs,A,P,56.2,76.0,40.0,6.0
Troy Watson,681890,Charleston RiverDogs,A,P,208.4,194.0,74.0,20.0
Brendan White,686839,Charleston RiverDogs,A,P,32.1,27.0,17.0,3.0
