name,player_id,affiliate,level,pos,atBats,hits,doubles,triples,homeRuns,baseOnBalls,strikeOuts
Justyn-Henry Malloy,669234,Charleston RiverDogs,A,RF,261.0,84.0,20.0,0.0,9.0,57.0,67.0
Manuel Margot,622534,Charleston RiverDogs,A,RF,128.0,27.0,2.0,1.0,1.0,12.0,27.0
Parker Meadows,678009,Charleston RiverDogs,A,CF,100.0,26.0,6.0,6.0,2.0,22.0,40.0
Carlos Mendoza,685332,Charleston RiverDogs,A,3B,670.0,192.0,32.0,4.0,14.0,106.0,90.0
Austin Murr,689456,Charleston RiverDogs,A,LF,562.0,154.0,32.0,8.0,16.0,86.0,144.0
Andrew Navigato,685382,Charleston RiverDogs,A,SS,335.0,70.0,16.0,2.0,11.0,28.0,116.0
Kevin Newman,621028,Charleston RiverDogs,A,3B,54.0,16.0,4.0,0.0,0.0,7.0,10.0
Tomás Nido,621512,Charleston RiverDogs,A,C,172.0,36.0,6.0,0.0,5.0,11.0,46.0
Wenceel Pérez,672761,Charleston RiverDogs,A,RF,36.0,8.0,2.0,0.0,2.0,2.0,8.0
Jake Rogers,668670,Charleston RiverDogs,A,C,15.0,5.0,3.0,0.0,0.0,3.0,3.0
Stephen Scott,679663,Charleston RiverDogs,A,C,58.0,8.0,0.0,1.0,1.0,4.0,19.0
Brian Serven,661531,Charleston RiverDogs,A,C,442.0,102.0,20.0,0.0,6.0,62.0,140.0
Dylan Smith,681916,Charleston RiverDogs,A,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Sweeney,700242,Charleston RiverDogs,A,SS,43.0,14.0,2.0,0.0,2.0,7.0,11.0
Riley Unroe,624523,Charleston RiverDogs,A,2B,198.0,55.0,12.0,1.0,4.0,39.0,48.0
Eduardo Valencia,680664,Charleston RiverDogs,A,C,758.0,236.0,36.0,4.0,48.0,86.0,172.0
Matt Vierling,663837,Charleston RiverDogs,A,CF,132.0,26.0,4.0,0.0,4.0,20.0,50.0
Gage Workman,669398,Charleston RiverDogs,A,3B,927.0,213.0,57.0,18.0,45.0,132.0,411.0
