affiliate,level,player_id,name,pos
Bowling Green Hot Rods,A+,663432,Tanner Rainey,P
Bowling Green Hot Rods,A+,668670,Jake Rogers,C
Bowling Green Hot Rods,A+,679663,Stephen Scott,C
Bowling Green Hot Rods,A+,676910,Matt Seelinger,P
Bowling Green Hot Rods,A+,661531,Brian Serven,C
Bowling Green Hot Rods,A+,623149,Paul Sewald,P
Bowling Green Hot Rods,A+,656970,Devin Smeltzer,P
Bowling Green Hot Rods,A+,681916,Dylan Smith,P
Bowling Green Hot Rods,A+,805427,Drew Sommers,P
Bowling Green Hot Rods,A+,700242,Trey Sweeney,SS
Bowling Green Hot Rods,A+,663378,Thomas Szapucki,P
Bowling Green Hot Rods,A+,624523,Riley Unroe,2B
Bowling Green Hot Rods,A+,664353,José Urquidy,P
Bowling Green Hot Rods,A+,680664,Eduardo Valencia,C
Bowling Green Hot Rods,A+,676568,Ricky Vanasco,P
Bowling Green Hot Rods,A+,663837,Matt Vierling,CF
Bowling Green Hot Rods,A+,681890,Troy Watson,P
Bowling Green Hot Rods,A+,686839,Brendan White,P
Bowling Green Hot Rods,A+,669398,Gage Workman,3B
Charleston RiverDogs,A,701564,Joe Adametz,P
Charleston RiverDogs,A,672613,Eliezer Alfonzo,C
Charleston RiverDogs,A,801194,Max Anderson,2B
Charleston RiverDogs,A,668731,Akil Baddoo,LF
Charleston RiverDogs,A,666364,Jordan Balazovic,P
Charleston RiverDogs,A,666123,Austin Bergner,P
Charleston RiverDogs,A,694425,Justice Bigbie,RF
Charleston RiverDogs,A,801682,Ryan Boyer,P
Charleston RiverDogs,A,605154,John Brebbia,P
Charleston RiverDogs,A,689225,Beau Brieske,P
Charleston RiverDogs,A,663971,Blair Calvo,P
Charleston RiverDogs,A,681481,Kerry Carpenter,RF
Charleston RiverDogs,A,605177,Andrew Chafin,P
Charleston RiverDogs,A,502171,Alex Cobb,P
Charleston RiverDogs,A,669360,Trei Cruz,CF
Charleston RiverDogs,A,680743,Ryan Cusick,P
Charleston RiverDogs,A,677976,Randy Dobnak,P
Charleston RiverDogs,A,686639,Jack Dunn,3B
Charleston RiverDogs,A,608650,Dietrich Enns,P
Charleston RiverDogs,A,802953,Colin Fields,P
Charleston RiverDogs,A,640448,Kyle Finnegan,P
Charleston RiverDogs,A,671345,Jason Foley,P
Charleston RiverDogs,A,657424,Matt Gage,P
Charleston RiverDogs,A,592325,Ben Gamel,RF
Charleston RiverDogs,A,687830,Sawyer Gipson-Long,P
Charleston RiverDogs,A,808970,Woo-Suk Go,P
Charleston RiverDogs,A,674944,Sean Guenther,P
Charleston RiverDogs,A,669724,Brenan Hanifee,P
Charleston RiverDogs,A,664129,Geoff Hartlieb,P
Charleston RiverDogs,A,682073,David Hensley,OF
Charleston RiverDogs,A,665859,Wilkel Hernandez,P
Charleston RiverDogs,A,676051,Codi Heuer,P
Charleston RiverDogs,A,676551,Brewer Hicklen,RF
Charleston RiverDogs,A,690544,Bailey Horn,P
Charleston RiverDogs,A,676428,Brant Hurter,P
Charleston RiverDogs,A,628451,Andy Ibáñez,3B
Charleston RiverDogs,A,687543,Andrew Jenkins,1B
Charleston RiverDogs,A,663330,Jahmai Jones,CF
Charleston RiverDogs,A,690291,Jace Jung,3B
Charleston RiverDogs,A,668952,Ryan Kreidler,CF
Charleston RiverDogs,A,656638,Alex Lange,P
Charleston RiverDogs,A,695445,Chase Lee,P
Charleston RiverDogs,A,701678,Hao-Yu  Lee,2B
Charleston RiverDogs,A,679712,Lael Lockhart,P
Charleston RiverDogs,A,676632,Bligh Madris,1B
Charleston RiverDogs,A,669234,Justyn-Henry Malloy,RF
Charleston RiverDogs,A,666159,Matt Manning,P
Charleston RiverDogs,A,676606,Nick Margevicius,P
Charleston RiverDogs,A,622534,Manuel Margot,RF
Charleston RiverDogs,A,694331,Tyler Mattison,P
Charleston RiverDogs,A,678009,Parker Meadows,CF
Charleston RiverDogs,A,675512,Troy Melton,P
Charleston RiverDogs,A,685332,Carlos Mendoza,3B
Charleston RiverDogs,A,800723,Trevin Michael,P
Charleston RiverDogs,A,701464,Joe Miller,P
Charleston RiverDogs,A,668943,Ryan Miller,P
Charleston RiverDogs,A,672456,Keider Montero,P
Charleston RiverDogs,A,689456,Austin Murr,LF
Charleston RiverDogs,A,676987,Tim Naughton,P
Charleston RiverDogs,A,685382,Andrew Navigato,SS
Charleston RiverDogs,A,621028,Kevin Newman,3B
Charleston RiverDogs,A,621512,Tomás Nido,C
Charleston RiverDogs,A,681857,Reese Olson,P
Charleston RiverDogs,A,687074,Tyler Owens,P
Charleston RiverDogs,A,685329,Carlos Peña,P
Charleston RiverDogs,A,672761,Wenceel Pérez,RF
Charleston RiverDogs,A,696275,RJ Petit,P
Charleston RiverDogs,A,676571,PJ Poulin,P
Charleston RiverDogs,A,663432,Tanner Rainey,P
Charleston RiverDogs,A,668670,Jake Rogers,C
Charleston RiverDogs,A,679663,Stephen Scott,C
Charleston RiverDogs,A,676910,Matt Seelinger,P
Charleston RiverDogs,A,661531,Brian Serven,C
Charleston RiverDogs,A,623149,Paul Sewald,P
Charleston RiverDogs,A,656970,Devin Smeltzer,P
Charleston RiverDogs,A,681916,Dylan Smith,P
Charleston RiverDogs,A,805427,Drew Sommers,P
Charleston RiverDogs,A,700242,Trey Sweeney,SS
Charleston RiverDogs,A,663378,Thomas Szapucki,P
Charleston RiverDogs,A,624523,Riley Unroe,2B
Charleston RiverDogs,A,664353,José Urquidy,P
Charleston RiverDogs,A,680664,Eduardo Valencia,C
Charleston RiverDogs,A,676568,Ricky Vanasco,P
Charleston RiverDogs,A,663837,Matt Vierling,CF
Charleston RiverDogs,A,681890,Troy Watson,P
Charleston RiverDogs,A,686839,Brendan White,P
Charleston RiverDogs,A,669398,Gage Workman,3B
