affiliate,level,player_id,name,pos,age
Charleston RiverDogs,A,668943,Ryan Miller,P,29.0
Charleston RiverDogs,A,672456,Keider Montero,P,24.0
Charleston RiverDogs,A,689456,Austin Murr,LF,26.0
Charleston RiverDogs,A,676987,Tim Naughton,P,29.0
Charleston RiverDogs,A,685382,Andrew Navigato,SS,27.0
Charleston RiverDogs,A,621028,Kevin Newman,3B,31.0
Charleston RiverDogs,A,621512,Tomás Nido,C,31.0
Charleston RiverDogs,A,681857,Reese Olson,P,25.0
Charleston RiverDogs,A,687074,Tyler Owens,P,24.0
Charleston RiverDogs,A,685329,Carlos Peña,P,26.0
Charleston RiverDogs,A,672761,Wenceel Pérez,RF,25.0
Charleston RiverDogs,A,696275,RJ Petit,P,25.0
Charleston RiverDogs,A,676571,PJ Poulin,P,28.0
Charleston RiverDogs,A,663432,Tanner Rainey,P,32.0
Charleston RiverDogs,A,668670,Jake Rogers,C,30.0
Charleston RiverDogs,A,679663,Stephen Scott,C,28.0
Charleston RiverDogs,A,676910,Matt Seelinger,P,30.0
Charleston RiverDogs,A,661531,Brian Serven,C,30.0
Charleston RiverDogs,A,623149,Paul Sewald,P,35.0
Charleston RiverDogs,A,656970,Devin Smeltzer,P,29.0
Charleston RiverDogs,A,681916,Dylan Smith,P,25.0
Charleston RiverDogs,A,805427,Drew Sommers,P,24.0
Charleston RiverDogs,A,700242,Trey Sweeney,SS,25.0
Charleston RiverDogs,A,663378,Thomas Szapucki,P,29.0
Charleston RiverDogs,A,624523,Riley Unroe,2B,29.0
Charleston RiverDogs,A,664353,José Urquidy,P,30.0
Charleston RiverDogs,A,680664,Eduardo Valencia,C,25.0
Charleston RiverDogs,A,676568,Ricky Vanasco,P,26.0
Charleston RiverDogs,A,663837,Matt Vierling,CF,28.0
Charleston RiverDogs,A,681890,Troy Watson,P,28.0
Charleston RiverDogs,A,686839,Brendan White,P,26.0
Charleston RiverDogs,A,669398,Gage Workman,3B,25.0
